bookname, subtitle, author, run time, release date, language, stars, ratings
Burn Book, "A Tech Love Story", "Kara Swisher", "7 hrs and 40 mins", "02-27-24", "English", "4.5 out of 5 stars", "1033 ratings" 
Designing Data-Intensive Applications, "The Big Ideas Behind Reliable & Scalable & and Maintainable Systems", "Martin Kleppmann", "20 hrs and 56 mins", "02-05-21", "English", "5 out of 5 stars", "405 ratings" 
The Book, "A Cover-To-Cover Exploration of the Most Powerful Object of Our Time", "Keith Houston", "9 hrs and 58 mins", "04-30-19", "English", "4.5 out of 5 stars", "21 ratings" 
Laws of UX, "Using Psychology to Design Better Products & Services", "Jon Yablonski", "3 hrs", "07-27-21", "English", "4.5 out of 5 stars", "91 ratings" 
Coders at Work, "Reflections on the Craft of Programming", "Peter Seibel", "20 hrs and 52 mins", "04-21-21", "English", "5 out of 5 stars", "73 ratings" 
Clean Code, "A Handbook of Agile Software Craftsmanship", "Robert C. Martin", "5 hrs and 49 mins", "02-27-21", "English", "5 out of 5 stars", "289 ratings" 
Learning Agile, "Understanding Scrum & XP & Lean & and Kanban", "Andrew Stellman and Jennifer Greene", "15 hrs and 4 mins", "05-18-21", "English", "4.5 out of 5 stars", "27 ratings" 
40-Day Social Media Fast, "Exchange Your Online Distractions for Real-Life Devotion", "Wendy Speake", "6 hrs", "11-17-20", "English", "5 out of 5 stars", "53 ratings" 
Fundamentals of Software Architecture, "An Engineering Approach", "Mark Richards and Neal Ford", "13 hrs and 10 mins", "02-27-21", "English", "4.5 out of 5 stars", "236 ratings" 
User Story Mapping, "Discover the Whole Story & Build the Right Product", "Jeff Patton and Peter Economy - foreword", "8 hrs and 19 mins", "01-26-21", "English", "4.5 out of 5 stars", "120 ratings" 
Hacker's Cookbook, "-", "Jean-Jacques Reibel", "2 hrs and 19 mins", "03-29-24", "English", "Not rated yet", "Not rated yet" 
Python Programming for Beginners, "The Simplified Beginner¡¦s Guide to Mastering Python Programming in One Week. Learn Python Quickly with No Prior Experience.", "Mark Gowen", "2 hrs and 42 mins", "04-18-24", "English", "Not rated yet", "Not rated yet" 
Ghost Work, "How to Stop Silicon Valley from Building a New Global Underclass", "Mary L. Gray and Siddharth Suri", "8 hrs and 7 mins", "05-07-19", "English", "4.5 out of 5 stars", "44 ratings" 
Org Design for Design Orgs, "Building and Managing In-House Design Teams", "Peter Merholz and Kristin Skinner", "5 hrs and 57 mins", "03-26-21", "English", "4.5 out of 5 stars", "28 ratings" 
The Metaverse, "And How It Will Revolutionize Everything", "Matthew Ball", "13 hrs and 38 mins", "07-19-22", "English", "4.5 out of 5 stars", "488 ratings" 
Software Engineering at Google, "Lessons Learned from Programming Over Time", "Titus Winters and Tom Manshreck and Hyrum Wright", "23 hrs and 36 mins", "02-05-21", "English", "4.5 out of 5 stars", "193 ratings" 
Information Architecture, "For the Web and Beyond", "Louis Rosenfeld and Peter Morville and Jorge Arango", "11 hrs", "03-26-21", "English", "4.5 out of 5 stars", "26 ratings" 
How to Do Nothing, "Resisting the Attention Economy", "Jenny Odell", "8 hrs and 10 mins", "05-07-19", "English", "3.5 out of 5 stars", "693 ratings" 
The Content Writer¡¦s Handbook, "Step-by-Step Write Real Blog & Email & Sales & Social & YouTube Copy with a Touch of Artificial Intelligence", "Julia McCoy and Owen Hemsath and Jeff J Hunter", "4 hrs and 2 mins", "03-06-24", "English", "Not rated yet", "Not rated yet" 
The book on ChatGPT 4, "A Comprehensive Guide to ChatGPT-4 and the Key Differences from its Predecessor & ChatGPT-3", "Daniel Steele and Chat GPT", "4 hrs and 22 mins", "02-15-24", "English", "1 out of 5 stars", "2 ratings" 
