bookname, subtitle, author, run time, release date, language, stars, ratings
Burn Book, "A Tech Love Story", "Kara Swisher", "7 hrs and 40 mins", "02-27-24", "English", "4.5 out of 5 stars", "896 ratings" 
The Book, "A Cover-To-Cover Exploration of the Most Powerful Object of Our Time", "Keith Houston", "9 hrs and 58 mins", "04-30-19", "English", "4.5 out of 5 stars", "20 ratings" 
Laws of UX, "Using Psychology to Design Better Products & Services", "Jon Yablonski", "3 hrs", "07-27-21", "English", "4.5 out of 5 stars", "89 ratings" 
Designing Data-Intensive Applications, "The Big Ideas Behind Reliable, Scalable, and Maintainable Systems", "Martin Kleppmann", "20 hrs and 56 mins", "02-05-21", "English", "5 out of 5 stars", "402 ratings" 
Coders at Work, "Reflections on the Craft of Programming", "Peter Seibel", "20 hrs and 52 mins", "04-21-21", "English", "5 out of 5 stars", "71 ratings" 
Clean Code, "A Handbook of Agile Software Craftsmanship", "Robert C. Martin", "5 hrs and 49 mins", "02-27-21", "English", "5 out of 5 stars", "288 ratings" 
40-Day Social Media Fast, "Exchange Your Online Distractions for Real-Life Devotion", "Wendy Speake", "6 hrs", "11-17-20", "English", "5 out of 5 stars", "52 ratings" 
Managing Humans, "Biting and Humorous Tales of a Software Engineering Manager", "Michael Lopp", "5 hrs and 39 mins", "05-27-20", "English", "4.5 out of 5 stars", "220 ratings" 
Clean Agile, "Back to Basics", "Robert C. Martin", "5 hrs and 53 mins", "02-27-21", "English", "4.5 out of 5 stars", "173 ratings" 
Faster, "How a Jewish Driver, an American Heiress, and a Legendary Car Beat Hitler's Best", "Neal Bascomb", "9 hrs and 52 mins", "03-17-20", "English", "4.5 out of 5 stars", "200 ratings" 
The book on ChatGPT 4, "A Comprehensive Guide to ChatGPT-4 and the Key Differences from its Predecessor, ChatGPT-3", "Daniel Steele, Chat GPT", "4 hrs and 22 mins", "02-15-24", "English", "1 out of 5 stars", "2 ratings" 
Generative AI for Busy Business Leaders, "How to Use AI With Your Team (A short book that covers simple frameworks and strategies for using gen AI at work)", "Hassan Osman", "52 mins", "01-27-24", "English", "3 out of 5 stars", "9 ratings" 
Learning Agile, "Understanding Scrum, XP, Lean, and Kanban", "Andrew Stellman, Jennifer Greene", "15 hrs and 4 mins", "05-18-21", "English", "4.5 out of 5 stars", "27 ratings" 
Fundamentals of Software Architecture, "An Engineering Approach", "Mark Richards, Neal Ford", "13 hrs and 10 mins", "02-27-21", "English", "4.5 out of 5 stars", "229 ratings" 
The Little Book of Aliens, "-", "Adam Frank", "8 hrs and 19 mins", "10-24-23", "English", "5 out of 5 stars", "37 ratings" 
The Ultimate Beginners Guide to Understanding Cryptocurrency for Investing, "-", "Nicasio Rios Jr", "4 hrs and 2 mins", "01-24-24", "English", "5 out of 5 stars", "1 rating" 
ITIL 4: The New Frontier, "A Practical Guidebook for Adopting ITIL 4", "Jeffrey Tefertiller", "2 hrs and 19 mins", "01-23-24", "English", "Not rated yet", "Not rated yet" 
Data Science for Business, "What You Need to Know About Data Mining and Data-Analytic Thinking", "Foster Provost, Tom Fawcett", "12 hrs and 46 mins", "02-05-21", "English", "4.5 out of 5 stars", "63 ratings" 
How to Do Nothing, "Resisting the Attention Economy", "Jenny Odell", "8 hrs and 10 mins", "05-07-19", "English", "3.5 out of 5 stars", "690 ratings" 
Software Engineering at Google, "Lessons Learned from Programming Over Time", "Titus Winters, Tom Manshreck, Hyrum Wright", "23 hrs and 36 mins", "02-05-21", "English", "4.5 out of 5 stars", "192 ratings" 
